argila;silte;areia;ds;ma;mi;c;elevation;soilslope;aspect;curvature;plancurve;profilecurve;tetas;umidade
16.54;19.12;64.33;1.65;0.0390;0.2624;2.19;321;1.41;225.00;0.0000;0.0000;0.0000;100;0.2054
23.09;29.35;47.57;1.40;0.0334;0.4254;2.31;295;8.94;333.43;-0.6400;-0.5120;0.1280;100;0.3082
24.39;22.21;53.40;1.20;0.2861;0.2489;2.90;310;7.62;156.80;-1.9200;-1.1520;0.7680;100;0.2160
18.37;14.37;67.27;1.47;0.1912;0.2295;2.28;324;20.25;57.09;-0.6400;-0.2560;0.3840;100;0.1373
15.05;18.89;66.07;1.46;0.1995;0.2578;2.05;322;4.47;333.43;-0.6400;0.0000;0.6400;100;0.1759
20.03;30.93;49.05;1.36;0.2670;0.2184;0.36;305.37;29.24;146.88;0.71;0.02;-0.69;100;0.1089
28.82;24.78;46.40;1.45;0.2816;0.1725;0.53;338.77;13.05;271.05;0.84;0.43;-0.41;100;0.1373
34.97;24.15;40.88;1.62;0.0894;0.3006;0.55;314.27;23.25;221.18;0.17;0.91;0.74;100;0.2542
12.33;31.22;56.45;1.38;0.3140;0.1656;0.61;330.66;16.38;318.33;0.07;0.34;0.41;100;0.1081
14.85;32.77;52.38;1.53;0.2348;0.1868;0.33;330.08;15.88;160.75;-0.99;1.49;0.50;100;0.0868
11.97;34.44;53.59;1.52;0.2735;0.1535;0.26;314.87;19.92;72.09;-1.04;1.53;0.50;100;0.1083
29.62;24.40;45.98;1.50;0.1659;0.2681;1.44;348.66;17.15;138.64;1.91;-1.12;0.79;100;0.1791
19.92;30.70;49.38;1.48;0.2291;0.2121;1.02;352.45;11.84;138.77;0.14;0.18;0.04;100;0.1324
18.20;33.72;48.08;1.35;0.2426;0.2490;0.47;342.06;27.51;162.42;0.77;-0.21;-0.98;100;0.1391
20.20;32.51;47.29;1.49;0.2538;0.1831;0.50;349.60;12.58;272.58;-0.47;-0.03;0.44;100;0.1404
27.75;25.74;46.51;1.58;0.0845;0.3191;1.19;336.08;35.92;168.19;1.16;0.81;-0.35;100;0.1534
9.15;32.76;58.09;1.54;0.2688;0.1486;0.25;349.08;16.25;325.29;-0.13;-0.82;-0.69;100;0.0650
16.19;35.26;48.55;1.58;0.1911;0.2121;0.62;348.16;9.79;297.18;-0.74;0.00;0.74;100;0.1439
19.17;27.63;53.20;1.38;0.2566;0.2245;0.72;348.46;13.20;177.19;0.15;-0.34;-0.48;100;0.1607
21.91;21.23;56.87;1.39;0.2900;0.1868;0.98;351.93;9.08;235.27;0.23;0.05;-0.18;100;0.1276
20.98;35.95;43.07;1.39;0.2392;0.2366;0.76;357.81;10.01;194.67;-0.04;-0.04;0.00;100;0.1722
16.35;20.45;63.20;1.44;0.2558;0.2009;0.68;357.55;17.04;172.88;-0.12;0.00;0.12;100;0.0895
12.29;35.33;52.38;1.47;0.2792;0.1675;0.22;355.76;15.82;237.17;-0.42;-0.03;0.39;100;0.1093
14.66;27.47;57.86;1.34;0.3157;0.1776;0.41;363.16;10.15;260.97;-3.51;0.62;4.13;100;0.1854
52.71;17.07;30.22;1.36;0.1965;0.2917;1.73;383.34;10.53;107.88;0.15;0.34;0.19;100;0.2331
12.66;31.04;56.30;1.41;0.3156;0.1541;0.60;382.29;19.50;143.76;0.89;0.44;-0.45;100;0.0818
21.42;35.62;42.97;1.41;0.0357;0.3887;2.28;50;0.00;-1.00;0.0000;0.0000;0.0000;1500;0.3041
19.99;34.41;45.60;1.40;0.0425;0.4108;2.46;54;7.21;213.69;1.2800;0.6400;-0.6400;1500;0.2737
24.00;29.70;46.30;1.31;0.1794;0.3135;2.45;95;29.12;105.95;0.6400;0.2174;-0.4226;1500;0.1888
11.82;20.45;67.73;1.59;0.1257;0.2314;1.96;146;13.93;21.04;1.2800;0.5440;-0.7360;1500;0.1229
22.60;25.17;52.23;1.67;0.0175;0.3331;2.35;71;7.62;293.20;-0.6400;-0.3840;0.2560;1500;0.2763
17.33;15.14;67.53;1.22;0.2553;0.2746;2.13;142;5.10;78.69;0.6400;0.0000;-0.6400;1500;0.1680
20.54;16.20;63.27;1.30;0.2109;0.2384;2.26;171;16.97;135.00;1.2800;0.6400;-0.6400;1500;0.1937
15.50;14.67;69.83;1.50;0.2041;0.2268;2.28;129;14.56;344.05;0.6400;0.6024;-0.0376;1500;0.1608
23.95;17.85;58.20;1.61;0.1240;0.2524;2.29;115;14.42;213.69;0.6400;-0.0985;-0.7385;1500;0.1997
18.15;28.55;53.30;1.54;0.0621;0.3550;2.27;190;17.89;243.43;0.0000;0.0000;0.0000;1500;0.2602
15.85;18.89;65.27;1.49;0.1242;0.2791;2.31;247;19.24;8.97;-1.2800;-0.7015;0.5785;1500;0.2098
20.48;18.89;60.63;1.35;0.1239;0.3462;2.34;272;8.00;180.00;0.0000;0.0000;0.0000;1500;0.2555
32.53;17.27;50.20;1.10;0.2126;0.3367;2.60;252;5.83;300.96;-1.2800;-0.4800;0.8000;1500;0.1814
6.97;9.30;83.73;1.42;0.2660;0.1649;2.02;254;9.06;96.34;0.0000;0.0000;0.0000;1500;0.0709
10.38;14.38;75.23;1.44;0.2591;0.1998;2.03;257;0.00;-1.00;0.0000;0.0000;0.0000;1500;0.1028
16.54;19.12;64.33;1.65;0.0390;0.2624;2.19;321;1.41;225.00;0.0000;0.0000;0.0000;1500;0.1603
23.09;29.35;47.57;1.40;0.0334;0.4254;2.31;295;8.94;333.43;-0.6400;-0.5120;0.1280;1500;0.2813
24.39;22.21;53.40;1.20;0.2861;0.2489;2.90;310;7.62;156.80;-1.9200;-1.1520;0.7680;1500;0.1733
18.37;14.37;67.27;1.47;0.1912;0.2295;2.28;324;20.25;57.09;-0.6400;-0.2560;0.3840;1500;0.1098
15.05;18.89;66.07;1.46;0.1995;0.2578;2.05;322;4.47;333.43;-0.6400;0.0000;0.6400;1500;0.1609
20.03;30.93;49.05;1.36;0.2670;0.2184;0.36;305.37;29.24;146.88;0.71;0.02;-0.69;1500;0.0869
28.82;24.78;46.40;1.45;0.2816;0.1725;0.53;338.77;13.05;271.05;0.84;0.43;-0.41;1500;0.1079
34.97;24.15;40.88;1.62;0.0894;0.3006;0.55;314.27;23.25;221.18;0.17;0.91;0.74;1500;0.2123
12.33;31.22;56.45;1.38;0.3140;0.1656;0.61;330.66;16.38;318.33;0.07;0.34;0.41;1500;0.0648
14.85;32.77;52.38;1.53;0.2348;0.1868;0.33;330.08;15.88;160.75;-0.99;1.49;0.50;1500;0.0683
11.97;34.44;53.59;1.52;0.2735;0.1535;0.26;314.87;19.92;72.09;-1.04;1.53;0.50;1500;0.0803
29.62;24.40;45.98;1.50;0.1659;0.2681;1.44;348.66;17.15;138.64;1.91;-1.12;0.79;1500;0.1328
19.92;30.70;49.38;1.48;0.2291;0.2121;1.02;352.45;11.84;138.77;0.14;0.18;0.04;1500;0.1017
18.20;33.72;48.08;1.35;0.2426;0.2490;0.47;342.06;27.51;162.42;0.77;-0.21;-0.98;1500;0.1042
20.20;32.51;47.29;1.49;0.2538;0.1831;0.50;349.60;12.58;272.58;-0.47;-0.03;0.44;1500;0.1055
27.75;25.74;46.51;1.58;0.0845;0.3191;1.19;336.08;35.92;168.19;1.16;0.81;-0.35;1500;0.1249
9.15;32.76;58.09;1.54;0.2688;0.1486;0.25;349.08;16.25;325.29;-0.13;-0.82;-0.69;1500;0.0473
16.19;35.26;48.55;1.58;0.1911;0.2121;0.62;348.16;9.79;297.18;-0.74;0.00;0.74;1500;0.1151
19.17;27.63;53.20;1.38;0.2566;0.2245;0.72;348.46;13.20;177.19;0.15;-0.34;-0.48;1500;0.1268
21.91;21.23;56.87;1.39;0.2900;0.1868;0.98;351.93;9.08;235.27;0.23;0.05;-0.18;1500;0.1065
20.98;35.95;43.07;1.39;0.2392;0.2366;0.76;357.81;10.01;194.67;-0.04;-0.04;0.00;1500;0.1444
16.35;20.45;63.20;1.44;0.2558;0.2009;0.68;357.55;17.04;172.88;-0.12;0.00;0.12;1500;0.0730
12.29;35.33;52.38;1.47;0.2792;0.1675;0.22;355.76;15.82;237.17;-0.42;-0.03;0.39;1500;0.0760
14.66;27.47;57.86;1.34;0.3157;0.1776;0.41;363.16;10.15;260.97;-3.51;0.62;4.13;1500;0.1500
52.71;17.07;30.22;1.36;0.1965;0.2917;1.73;383.34;10.53;107.88;0.15;0.34;0.19;1500;0.2047
12.66;31.04;56.30;1.41;0.3156;0.1541;0.60;382.29;19.50;143.76;0.89;0.44;-0.45;1500;0.0586
